DATETIME;USER;TAG;VALUE
2013-05-21@20:40:23;kasi;"REKAM SM";"user kasi rekam surat masuk agenda SM0023"
2013-05-21@20:40:44;kasi;"REKAM SM";"user kasi rekam surat masuk agenda SM0023"
2013-05-21@20:42:09;kasi;"DELETE SM";"user kasi menghapus surat masuk no agenda"
2013-05-21@20:42:12;kasi;"DELETE SM";"user kasi menghapus surat masuk no agenda"
2013-05-21@20:42:16;kasi;"DELETE SM";"user kasi menghapus surat masuk no agenda"
2013-05-21@20:42:23;kasi;"DELETE SM";"user kasi menghapus surat masuk no agenda"
2013-05-21@20:43:03;kasi;"UBAH SM";"user kasi ubah surat masuk no agenda "
2013-05-21@20:43:59;kasi;"UBAH SM";"user kasi ubah surat masuk no agenda "
2013-05-21@20:44:33;kasi;"UBAH SM";"user kasi ubah surat masuk no agenda "
2013-05-21@20:45:10;kasi;"UBAH SM";"user kasi ubah surat masuk no agenda "
2013-05-21@20:45:35;kasi;"UBAH SM";"user kasi ubah surat masuk no agenda "
2013-05-21@20:47:47;kasi;"UBAH SM";"user kasi ubah surat masuk no agenda "
2013-05-21@20:47:48;kasi;"UBAH SM";"user kasi ubah surat masuk no agenda "
2013-05-21@20:47:49;kasi;"UBAH SM";"user kasi ubah surat masuk no agenda "
2013-05-21@20:47:50;kasi;"UBAH SM";"user kasi ubah surat masuk no agenda "
2013-05-21@20:47:52;kasi;"UBAH SM";"user kasi ubah surat masuk no agenda "
2013-05-21@20:47:54;kasi;"UBAH SM";"user kasi ubah surat masuk no agenda "
2013-05-21@20:49:05;kasi;"UBAH SM";"user kasi ubah surat masuk no agenda "
2013-05-21@20:49:50;kasi;"UBAH SM";"user kasi ubah surat masuk no agenda SM0023"
2013-05-21@20:50:02;kasi;"UBAH SM";"user kasi ubah surat masuk no agenda SM0023"
2013-05-21@21:04:34;kasi;LOGOUT;
2013-05-21@21:04:37;kk;LOGIN;
2013-05-21@23:08:30;kk;LOGIN;
2013-05-21@23:32:36;kk;"REKAM DISPOSISI";"user kk rekam disposisi no agenda SM0023"
2013-05-21@23:34:15;kk;"REKAM DISPOSISI";"user kk rekam disposisi no agenda SM0023"
2013-05-21@23:35:50;kk;"REKAM DISPOSISI";"user kk rekam disposisi no agenda SM0023"
2013-05-21@23:36:45;kk;"REKAM DISPOSISI";"user kk rekam disposisi no agenda SM0023"
2013-05-21@23:37:24;kk;"REKAM DISPOSISI";"user kk rekam disposisi no agenda SM0023"
2013-05-21@23:40:09;kk;"REKAM DISPOSISI";"user kk rekam disposisi no agenda SM0023"
2013-05-21@23:51:07;kk;LOGOUT;
2013-05-22@00:11:35;kk;LOGIN;
2013-05-22@00:11:37;kk;LOGIN;
2013-05-22@00:11:39;kk;LOGIN;
2013-05-22@00:16:13;kk;LOGIN;
2013-05-22@00:16:48;kk;LOGOUT;
2013-05-22@00:27:48;huri;LOGIN;
2013-05-22@00:27:50;huri;LOGOUT;
2013-05-22@00:27:56;kk;LOGIN;
2013-05-22@00:27:57;kk;LOGOUT;
2013-05-22@00:29:25;kk;LOGIN;
2013-05-22@00:29:27;kk;LOGOUT;
2013-05-22@00:57:52;admin;LOGIN;
2013-05-22@00:59:53;admin;LOGOUT;
2013-05-22@05:11:26;kk;LOGIN;
2013-05-22@05:12:03;kk;LOGOUT;
2013-05-22@05:12:07;admin;LOGIN;
2013-05-22@05:21:34;admin;LOGOUT;
2013-05-22@05:23:10;kk;LOGIN;
2013-05-22@08:44:37;kk;LOGIN;
2013-05-22@16:12:52;kk;LOGIN;
2013-05-22@16:31:16;kk;LOGOUT;
2013-05-22@16:31:18;admin;LOGIN;
2013-05-22@16:31:47;admin;LOGOUT;
2013-05-22@16:31:51;kk;LOGIN;
2013-05-22@16:59:51;kk;LOGOUT;
2013-05-22@16:59:53;admin;LOGIN;
2013-05-22@21:14:27;kk;LOGIN;
2013-05-22@21:16:10;kk;LOGOUT;
2013-05-22@21:16:15;mastri;LOGIN;
2013-05-22@21:22:17;mastri;LOGOUT;
2013-05-22@21:22:18;admin;LOGIN;
2013-05-22@21:24:54;admin;LOGOUT;
2013-05-22@21:24:55;admin;LOGIN;
2013-05-22@21:26:25;admin;LOGOUT;
2013-05-22@21:26:30;mastri;LOGIN;
2013-05-22@22:45:22;mastri;LOGOUT;
2013-05-22@22:45:26;kk;LOGIN;
2013-05-22@23:24:44;kk;"UBAH DISPOSISI";"user kk rekam disposisi no agenda SM0023"
2013-05-22@23:30:28;kk;"UBAH DISPOSISI";"user kk rekam disposisi no agenda SM0023"
2013-05-22@23:31:48;kk;"UBAH DISPOSISI";"user kk rekam disposisi no agenda SM0023"
2013-05-22@23:34:25;kk;"UBAH DISPOSISI";"user kk rekam disposisi no agenda SM0023"
2013-05-22@23:36:57;kk;"UBAH DISPOSISI";"user kk rekam disposisi no agenda SM0023"
2013-05-23@00:03:44;kk;LOGOUT;
2013-05-23@00:03:52;huri;LOGIN;
2013-05-23@01:39:03;huri;LOGOUT;
2013-05-23@19:40:21;admin;LOGIN;
2013-05-23@23:14:26;kk;LOGIN;
2013-05-23@23:14:30;kk;LOGOUT;
2013-05-23@23:14:34;kasi;LOGIN;
2013-05-23@23:14:45;kasi;LOGOUT;
2013-05-23@23:14:51;mastri;LOGIN;
2013-05-23@23:14:53;mastri;LOGOUT;
2013-05-23@23:14:56;huri;LOGIN;
2013-05-23@23:15:05;huri;LOGOUT;
2013-05-23@23:15:10;admin;LOGIN;
2013-05-23@23:15:49;admin;"REKAM SM";"user admin rekam surat masuk agenda SM0024"
2013-05-23@23:16:24;admin;LOGOUT;
2013-05-23@23:16:29;kk;LOGIN;
2013-05-23@23:16:58;kk;"UBAH DISPOSISI";"user kk rekam disposisi no agenda SM0024"
2013-05-23@23:18:12;kk;"UBAH DISPOSISI";"user kk rekam disposisi no agenda SM0024"
2013-05-23@23:23:24;kk;"UBAH DISPOSISI";"user kk rekam disposisi no agenda SM0024"
2013-05-23@23:24:07;kk;"REKAM DISPOSISI";"user kk rekam disposisi no agenda SM0024"
2013-05-23@23:24:16;kk;LOGOUT;
2013-05-23@23:24:20;kasi;LOGIN;
2013-05-23@23:24:33;kasi;"CHANGE ROLE";"user kasi mengganti role/bagian ke 2/1"
2013-05-23@23:24:57;kasi;"UBAH SM";"user kasi ubah surat masuk no agenda SM0024"
